Division,Line,Borough,Stop Name,Complex ID,Constituent Station Name,Station ID,GTFS Stop ID,Daytime Routes,Entrance Type,Entry Allowed,Exit Allowed,Latitude,Longitude,entrance_georeference
IRT,Jerome Av,Bx,167 St,388,167 St,388,413,4,Stair,YES,YES,40.8356101,-73.921131,POINT (-73.921131 40.8356101)
IRT,Jerome Av,Bx,167 St,388,167 St,388,413,4,Stair,YES,YES,40.8357397,-73.9210597,POINT (-73.9210597 40.8357397)
IRT,Jerome Av,Bx,161 St-Yankee Stadium,604,161 St-Yankee Stadium,389,414,4 B D,Stair,YES,YES,40.827399,-73.926394,POINT (-73.926394 40.827399)
IRT,Jerome Av,Bx,161 St-Yankee Stadium,604,161 St-Yankee Stadium,389,414,4 B D,Stair,YES,YES,40.827461,-73.926362,POINT (-73.926362 40.827461)
IRT,Jerome Av,Bx,161 St-Yankee Stadium,604,161 St-Yankee Stadium,389,414,4 B D,Stair,YES,YES,40.827529,-73.926322,POINT (-73.926322 40.827529)
IRT,Jerome Av,Bx,161 St-Yankee Stadium,604,161 St-Yankee Stadium,389,414,4 B D,Stair,YES,YES,40.827605,-73.926282,POINT (-73.926282 40.827605)
IRT,Jerome Av,Bx,161 St-Yankee Stadium,604,161 St-Yankee Stadium,389,414,4 B D,Stair,YES,YES,40.827759,-73.9261,POINT (-73.9261 40.827759)
IRT,Jerome Av,Bx,161 St-Yankee Stadium,604,161 St-Yankee Stadium,389,414,4 B D,Stair,YES,YES,40.827942,-73.926,POINT (-73.926 40.827942)
IRT,Jerome Av,Bx,161 St-Yankee Stadium,604,161 St-Yankee Stadium,389,414,4 B D,Stair,YES,YES,40.827685,-73.925842,POINT (-73.925842 40.827685)
IRT,Jerome Av,Bx,161 St-Yankee Stadium,604,161 St-Yankee Stadium,389,414,4 B D,Stair,YES,YES,40.827854,-73.925745,POINT (-73.925745 40.827854)
IRT,Jerome Av,Bx,149 St-Grand Concourse,603,149 St-Grand Concourse,390,415,2 4 5,Stair,YES,YES,40.818259,-73.927659,POINT (-73.927659 40.818259)
IRT,Jerome Av,Bx,149 St-Grand Concourse,603,149 St-Grand Concourse,390,415,2 4 5,Stair,YES,YES,40.8183857,-73.9276023,POINT (-73.9276023 40.8183857)
IRT,Jerome Av,Bx,149 St-Grand Concourse,603,149 St-Grand Concourse,390,415,2 4 5,Stair,YES,YES,40.8182648,-73.927259,POINT (-73.927259 40.8182648)
IRT,Jerome Av,Bx,149 St-Grand Concourse,603,149 St-Grand Concourse,390,415,2 4 5,Stair,YES,YES,40.818405,-73.927101,POINT (-73.927101 40.818405)
IRT,Jerome Av,Bx,138 St-Grand Concourse,391,138 St-Grand Concourse,391,416,4 5,Stair,YES,YES,40.8133392,-73.9299986,POINT (-73.9299986 40.8133392)
